#(threads),time taken(in ns)
1640,68352416
1641,68982345
1642,69709841
1643,68026835
1644,68792360
1645,67458184
1646,71712372
1647,67991659
1648,73190171
1649,68077203
1650,68621814
1651,67740829
1652,71073601
1653,67651345
1654,68421960
1655,69899627
1656,71935604
1657,68799692
1658,68461507
1659,72801346
1660,69735488
1661,70478750
1662,69086129
1663,68419944
1664,70452651
1665,70772213
1666,67258184
1667,70346357
1668,71420225
1669,70362132
1670,70515675
1671,71653157
1672,69998557
1673,67810104
1674,69854744
1675,71158452
1676,69514202
1677,67675712
1678,70614250
1679,69731433
1680,70524855
1681,69848338
1682,69571835
1683,67982063
1684,68217720
1685,70893845
1686,70099211
1687,71386928
1688,70500701
1689,68762040
1690,68817207
1691,71594745
1692,69449127
1693,68892434
1694,70050117
1695,70030079
1696,70545438
1697,68628301
1698,70008606
1699,71188837
1700,70258531
1701,66983060
1702,69859124
1703,70791196
1704,70971713
1705,70896581
1706,70114839
1707,70295101
1708,69017292
1709,70723730
1710,69090324
1711,69327394
1712,70055591
1713,71294006
1714,71661707
1715,69411240
1716,70977345
1717,69840292
1718,71516292
1719,69106653
1720,72876181
1721,72854027
1722,70501884
1723,69456785
1724,72746957
1725,71478478
1726,72005319
1727,70152335
1728,71106412
1729,70834903
1730,70039945
1731,72079227
1732,72027090
1733,68974594
1734,68931729
1735,71086615
1736,69624052
1737,70577856
1738,69257319
1739,71971850
1740,70733775
1741,72003633
1742,70674060
1743,71268189
1744,71985755
1745,70398092
1746,71327320
1747,71190900
1748,71094870
1749,70053232
1750,69999190
1751,70496985
1752,71085482
1753,69523190
1754,69862453
1755,70556273
1756,71426682
1757,70718909
1758,70753153
1759,72572172
1760,70644775
1761,72844788
1762,71672907
1763,71793547
1764,71334416
1765,70533346
1766,70285981
1767,70953966
1768,71604869
1769,70554952
1770,74273212
1771,72144995
1772,71073995
1773,71475036
1774,72345057
1775,70184790
1776,72248548
1777,71250294
1778,70895633
1779,71726697
1780,72290651
1781,73077419
1782,73446773
1783,71483419
1784,71162487
1785,72252063
1786,71285001
1787,72169959
1788,73193923
1789,72129609
1790,72803352
1791,71376338
1792,71790869
1793,72909126
1794,71454041
1795,71793179
1796,73912975
1797,71461403
1798,71580887
1799,70817911
1800,73597003
1801,72374030
1802,70381686
1803,72240300
1804,72755760
1805,71929702
1806,71517317
1807,73319745
1808,71584654
1809,70793175
1810,73887278
1811,70934722
1812,72050045
1813,71889075
1814,73225293
1815,73207434
1816,72153289
1817,70451457
1818,72071296
1819,71274713
1820,70919191
1821,103903212
1822,74442039
1823,72161899
1824,70897344
1825,73582390
1826,71790264
1827,70968984
1828,72067826
1829,72987200
1830,72025522
1831,74066950
1832,74298582
1833,72402366
1834,72831115
1835,73411279
1836,73972799
1837,71386689
1838,73473949
1839,71306930
1840,71920769
1841,73454431
1842,72043508
1843,73838478
1844,72553441
1845,72799769
1846,73015084
1847,72678716
1848,71739396
1849,73316921
1850,73626649
1851,72874929
1852,74381571
1853,72727661
1854,72593431
1855,70215455
1856,73980664
1857,73937592
1858,72243053
1859,72365293
1860,75441010
1861,74814190
1862,77248996
1863,76851833
1864,73385209
1865,74153789
